ORGANISME,ANNÉE ATTRIBUTION,TYPE D'AIDE,BÉNÉFICIARE,DESCRIPTION PROJET;MONTANT ATTRIBUÉ
SOFIA,2016,création,ADBEN Limousin,Prix Passerelle(s),2 250.00
SOFIA,2016,création,Association Albania,Salon du Livre des Balkans 2016,3 000.00
SOFIA,2016,création,Association Arpoezi,Les Chemins de Tolérance; 2&deg; édition,3 000.00
SOFIA,2016,création,Association Livre & Mer,Festival Livre et Mer,5 000.00
SOFIA,2016,création,Association Manga'titude,Prix Manga'titude 2016,600.00
SOFIA,2016,création,association PAN!,Ciel ouvert,3 000.00
SOFIA,2016,création,Centre Zola (ITEM/CNRS-ENS),Rencontre d'écrivains autour de l'héritage d'Emile Zola,735.00
SOFIA,2016,création,Communauté de communes du Pays né de la Mer,Semaine du Livre Jeunesse de Luçon,5 000.00
SOFIA,2016,création,Dixit Poétic,Festival des poésies contemporaines 'Et Dire et Ouissance' 2016,5 000.00
SOFIA,2016,création,Imagin'à lire,Concours de lecture inter-établissements,4 000.00
SOFIA,2016,création,Imagin'Artois,Festival BD d'Anzin-Saint-Aubin,5 000.00
SOFIA,2016,création,Kamishibaï,Les Éclats de Lire,5 000.00
SOFIA,2016,création,La MANUFACTURE,LA MANUFACTURE D'IDÉES,3 000.00
SOFIA,2016,création,La Marelle - Des auteurs aux lecteurs,Les résidents de La Marelle,5 000.00
SOFIA,2016,création,Le Livre Perché,Festival du livre perché,4 000.00
SOFIA,2016,création,Les nuits noires à Aubusson,Festival Nuits Noires à Aubusson,5 000.00
SOFIA,2016,création,Librairie la Griffe Noire,Tea time à Saint-Maur en poche,5 000.00
SOFIA,2016,création,Mairie d'Annemasse,Festival du Livre Jeunesse d'Annemasse,4 000.00
SOFIA,2016,création,Mange-Livres à Grateloup,14 ème salon du livre de jeunesse,4 000.00
SOFIA,2016,création,médiathèque de Saint-Cernin,salon du polar : Du sang sur les volcans,3 000.00
SOFIA,2016,création,MJC PALENTE,25ème Fête du livre jeunesse LIBRES COMME L'ART,4 000.00
SOFIA,2016,création,MUSIQUES METISSES,LITTERATURES METISSES - 41 eme festival,5 000.00
SOFIA,2016,création,Peuple & Culture Marseille,Nos mondes,5 000.00
SOFIA,2016,création,Plaine page,Les Eauditives; festival de poésie,5 000.00
SOFIA,2016,création,REVES D'OCEANS,Festival du Livre jeunesse et BD; REVES DOCEANS,4 500.00
SOFIA,2016,création,Syndicat mixte du pays de Bièvre-Valloire,Manifestation littéraire 'Le pays se Livre' - édition 2016,5 000.00
SOFIA,2016,création,UN LIEN POUR TOUS,Festival 'BD à Semur',2 000.00
SOFIA,2016,création,Artgo & Cie,6emes Rencontres litteraires en Haute Provence,4 000.00
SOFIA,2016,création,Association 'polar en cabanes' -les amis de Chester Himes en Aquitaine, à Arcachon et sur le bassin( Achaab);Polar en cabanes,1 000.00
SOFIA,2016,création,Association Esquelbecq Village du Livre,Nuit des Livres #10,5 000.00
SOFIA,2016,création,Association Lecture et Loisirs,Web TV littérature pour la jeunesse,5 000.00
SOFIA,2016,création,association Les Carnets,Festival Les Carnets,3 000.00
SOFIA,2016,création,Association les Incorruptibles,Lectures numériques pour l'été 2016,4 000.00
SOFIA,2016,création,Écrivains en bord de mer,Ecrivains en bord de mer,4 000.00
SOFIA,2016,création,LA BOUCHERIE LITTERAIRE,Poésie Nomade en Luberon (2ème édition),1 500.00
SOFIA,2016,création,Poésie in the city!,Poésie in the city! Installation d'Affiches Poèmes dans les espaces publics de Paris,1 800.00
SOFIA,2016,création,Maison de la poésie du pays de quimperlé,Programmation de la Maison de la Poésie,5 000.00
SOFIA,2016,création,Alifbata,Projet Samandal,2 000.00
SOFIA,2016,création,Association des Arts de Clairac,Festival BD de Clairac (7e édition),3 000.00
SOFIA,2016,création,Bibliothèque de Landivisiau service culturel,Alice au pays du Pop'up,3 000.00
SOFIA,2016,création,Bordères sports, culture et loisirs;Salon du livre jeunesse Frissons à Bordères,1 000.00
SOFIA,2016,création,Crocmillivre,Salon du livre jeunesse Crocmillivre,5 000.00
SOFIA,2016,création,Culture Jeunesse Sainte Ra,Festival du Livre de Jeunesse de Sainte Radegonde,2 000.00
SOFIA,2016,création,Data Factory,SoBD 2016,3 000.00
SOFIA,2016,création,Détournements,Festival Poesie danse la rue... côté jardin,3 500.00
SOFIA,2016,création,ECRIVAINS EN GRESIVAUDAN,Ecrivains en Grésivaudan,3 000.00
SOFIA,2016,création,Espace Pandora,21e festival Parole Ambulante &ndash; octobre 2016,3 000.00
SOFIA,2016,création,Fédération des Cafés-librairies de Bretagne,Libres en littérature - 6e édition  : Rêvons demain,3 500.00
SOFIA,2016,création,Fureur du noir,Noir sur la ville,2 000.00
SOFIA,2016,création,Grandeur Nature,La mer est loin; festival littéraire,5 000.00
SOFIA,2016,création,Il était une fois.,L'autre Festival,1 100.00
SOFIA,2016,création,Junior-association 'Un Livre dans la poche',Rencontre litteraires de Nogaro,2 500.00
SOFIA,2016,création,La Baie des livres,5è salon du livre de jeunesse du Pays de Morlaix,4 000.00
SOFIA,2016,création,La maman des poissons,festival de littérature jeunesse en Pays de Pézenas,5 000.00
SOFIA,2016,création,LA REUNION DES LIVRES,GRAND PRIX DU ROMAN METIS,5 000.00
SOFIA,2016,création,L'échappée,Festival des Troquets et des Librairies de Paris,5 000.00
SOFIA,2016,création,Les Amis du Roi des Aulnes,Lettres d'Europe et d'ailleurs,5 000.00
SOFIA,2016,création,Les Bulleurs en balade,Les Bulles en balade; salon de BD et d'illustration jeunesse,5 000.00
SOFIA,2016,création,Les Mystères du Grand Paris,Elaboration et diffusion d'un feuilleton de 15 épisodes,5 000.00
SOFIA,2016,création,Lycée Polyvent Jean Rostand,Le pouvoir des Mots par la Poèsie,1 000.00
SOFIA,2016,création,M.I.E.L,Lire c'est du Délice !,5 000.00
SOFIA,2016,création,Mairie de Limours,Salon du Livre Jeunesse,750.00
SOFIA,2016,création,Maison des écrivains et de la littérature,Congrès international d'écrivains,5 000.00
SOFIA,2016,création,Maison Julien Gracq,Soutien à la création littéraire,5 000.00
SOFIA,2016,création,Médiathèque de Calais,Les Novembre Littéraires,2 500.00
SOFIA,2016,création,Médiathèque muncipale de Questembert,Tapage-événement littéraire et ludique pour les adolescents,1 250.00
SOFIA,2016,création,MEDIATHEQUE MUNICIPALE PAUL ELUARD,3e Semaine de la Lecture Publique,750.00
SOFIA,2016,création,Médiathèque Per Jakez Helias,Festival Clair de lune,1 700.00
SOFIA,2016,création,Médiathèque Simonne et Jean Lacouture,Salon du livre et de l'illustration jeunesse,3 000.00
